,P,ET,D
2002-10-01,0.0,0.5699285,0.5699285268783569
2002-10-02,0.0,0.5870905,1.157019019126892
2002-10-03,0.0,0.5663712,1.7233902215957642
2002-10-04,0.0,0.53066367,2.2540538907051086
2002-10-05,0.0,0.507379,2.7614328861236572
2002-10-06,0.0,0.49007523,3.251508116722107
2002-10-07,0.0,0.47349757,3.7250056862831116
2002-10-08,0.0,0.4747705,4.1997761726379395
2002-10-09,0.0,0.48357475,4.683350920677185
2002-10-10,0.0,0.47589993,5.159250855445862
2002-10-11,0.0,0.4421655,5.601416349411011
2002-10-12,0.0,0.45706278,6.058479130268097
2002-10-13,0.0,0.48924834,6.547727465629578
2002-10-14,0.0,0.52397346,7.071700930595398
2002-10-15,0.0,0.54244137,7.614142298698425
2002-10-16,0.0,0.5108448,8.124987125396729
2002-10-17,0.0,0.49611223,8.621099352836609
2002-10-18,0.0,0.51150715,9.132606506347656
2002-10-19,0.0,0.5121588,9.644765317440033
2002-10-20,0.0,0.524648,10.169413328170776
2002-10-21,0.0,0.5200365,10.689449846744537
2002-10-22,0.0,0.5242704,11.213720262050629
2002-10-23,0.0,0.5127522,11.726472437381744
2002-10-24,0.0,0.5020641,12.228536546230316
2002-10-25,0.0,0.51397556,12.742512106895447
2002-10-26,0.0,0.5269659,13.269478023052216
2002-10-27,0.0,0.50024533,13.769723355770111
2002-10-28,0.0,0.4968953,14.26661866903305
2002-10-29,0.0,0.49424165,14.760860323905945
2002-10-30,0.0,0.48851407,15.249374389648438
2002-10-31,0.0,0.47453088,15.723905265331268
2002-11-01,0.0,0.46575195,16.18965721130371
2002-11-02,0.0,0.44121742,16.630874633789062
2002-11-03,0.0,0.42533505,17.056209683418274
2002-11-04,0.0,0.3992511,17.455460786819458
2002-11-05,0.0,0.37699246,17.83245325088501
2002-11-06,0.0,0.36202705,18.194480299949646
2002-11-07,15.70699977874756,0.38593954,2.873420059680937
2002-11-08,30.292999267578125,0.31954402,0.0
2002-11-09,3.986000061035156,0.3238755,0.0
2002-11-10,4.335000038146973,0.32460928,0.0
2002-11-11,0.765999972820282,0.29651177,0.0
2002-11-12,1.5729999542236328,0.29498756,0.0
2002-11-13,1.4830000400543213,0.27669865,0.0
2002-11-14,0.0,0.27366585,0.2736658453941345
2002-11-15,0.0,0.284535,0.5582008361816406
2002-11-16,0.0,0.25955272,0.8177535533905029
2002-11-17,0.0,0.2440899,1.061843454837799
